"country","Date","case_type","value"
"Afghanistan",2020-01-22,"Active Cases",0
"Afghanistan",2020-01-22,"Total Cases",0
"Afghanistan",2020-01-22,"Deaths",0
"Afghanistan",2020-01-22,"Recovered",0
"Afghanistan",2020-01-23,"Active Cases",0
"Afghanistan",2020-01-23,"Total Cases",0
"Afghanistan",2020-01-23,"Deaths",0
"Afghanistan",2020-01-23,"Recovered",0
"Afghanistan",2020-01-24,"Active Cases",0
"Afghanistan",2020-01-24,"Total Cases",0
"Afghanistan",2020-01-24,"Deaths",0
"Afghanistan",2020-01-24,"Recovered",0
"Afghanistan",2020-01-25,"Active Cases",0
"Afghanistan",2020-01-25,"Total Cases",0
"Afghanistan",2020-01-25,"Deaths",0
"Afghanistan",2020-01-25,"Recovered",0
"Afghanistan",2020-01-26,"Active Cases",0
"Afghanistan",2020-01-26,"Total Cases",0
"Afghanistan",2020-01-26,"Deaths",0
"Afghanistan",2020-01-26,"Recovered",0
"Afghanistan",2020-01-27,"Active Cases",0
"Afghanistan",2020-01-27,"Total Cases",0
"Afghanistan",2020-01-27,"Deaths",0
"Afghanistan",2020-01-27,"Recovered",0
"Afghanistan",2020-01-28,"Active Cases",0
"Afghanistan",2020-01-28,"Total Cases",0
"Afghanistan",2020-01-28,"Deaths",0
"Afghanistan",2020-01-28,"Recovered",0
"Afghanistan",2020-01-29,"Active Cases",0
"Afghanistan",2020-01-29,"Total Cases",0
"Afghanistan",2020-01-29,"Deaths",0
"Afghanistan",2020-01-29,"Recovered",0
"Afghanistan",2020-01-30,"Active Cases",0
"Afghanistan",2020-01-30,"Total Cases",0
"Afghanistan",2020-01-30,"Deaths",0
"Afghanistan",2020-01-30,"Recovered",0
"Afghanistan",2020-01-31,"Active Cases",0
"Afghanistan",2020-01-31,"Total Cases",0
"Afghanistan",2020-01-31,"Deaths",0
"Afghanistan",2020-01-31,"Recovered",0
"Afghanistan",2020-02-01,"Active Cases",0
"Afghanistan",2020-02-01,"Total Cases",0
"Afghanistan",2020-02-01,"Deaths",0
"Afghanistan",2020-02-01,"Recovered",0
"Afghanistan",2020-02-02,"Active Cases",0
"Afghanistan",2020-02-02,"Total Cases",0
"Afghanistan",2020-02-02,"Deaths",0
"Afghanistan",2020-02-02,"Recovered",0
"Afghanistan",2020-02-03,"Active Cases",0
"Afghanistan",2020-02-03,"Total Cases",0
"Afghanistan",2020-02-03,"Deaths",0
"Afghanistan",2020-02-03,"Recovered",0
"Afghanistan",2020-02-04,"Active Cases",0
"Afghanistan",2020-02-04,"Total Cases",0
"Afghanistan",2020-02-04,"Deaths",0
"Afghanistan",2020-02-04,"Recovered",0
"Afghanistan",2020-02-05,"Active Cases",0
"Afghanistan",2020-02-05,"Total Cases",0
"Afghanistan",2020-02-05,"Deaths",0
"Afghanistan",2020-02-05,"Recovered",0
"Afghanistan",2020-02-06,"Active Cases",0
"Afghanistan",2020-02-06,"Total Cases",0
"Afghanistan",2020-02-06,"Deaths",0
"Afghanistan",2020-02-06,"Recovered",0
"Afghanistan",2020-02-07,"Active Cases",0
"Afghanistan",2020-02-07,"Total Cases",0
"Afghanistan",2020-02-07,"Deaths",0
"Afghanistan",2020-02-07,"Recovered",0
"Afghanistan",2020-02-08,"Active Cases",0
"Afghanistan",2020-02-08,"Total Cases",0
"Afghanistan",2020-02-08,"Deaths",0
"Afghanistan",2020-02-08,"Recovered",0
"Afghanistan",2020-02-09,"Active Cases",0
"Afghanistan",2020-02-09,"Total Cases",0
"Afghanistan",2020-02-09,"Deaths",0
"Afghanistan",2020-02-09,"Recovered",0
"Afghanistan",2020-02-10,"Active Cases",0
"Afghanistan",2020-02-10,"Total Cases",0
"Afghanistan",2020-02-10,"Deaths",0
"Afghanistan",2020-02-10,"Recovered",0
"Afghanistan",2020-02-11,"Active Cases",0
"Afghanistan",2020-02-11,"Total Cases",0
"Afghanistan",2020-02-11,"Deaths",0
"Afghanistan",2020-02-11,"Recovered",0
"Afghanistan",2020-02-12,"Active Cases",0
"Afghanistan",2020-02-12,"Total Cases",0
"Afghanistan",2020-02-12,"Deaths",0
"Afghanistan",2020-02-12,"Recovered",0
"Afghanistan",2020-02-13,"Active Cases",0
"Afghanistan",2020-02-13,"Total Cases",0
"Afghanistan",2020-02-13,"Deaths",0
"Afghanistan",2020-02-13,"Recovered",0
"Afghanistan",2020-02-14,"Active Cases",0
"Afghanistan",2020-02-14,"Total Cases",0
"Afghanistan",2020-02-14,"Deaths",0
"Afghanistan",2020-02-14,"Recovered",0
"Afghanistan",2020-02-15,"Active Cases",0
"Afghanistan",2020-02-15,"Total Cases",0
"Afghanistan",2020-02-15,"Deaths",0
"Afghanistan",2020-02-15,"Recovered",0
"Afghanistan",2020-02-16,"Active Cases",0
"Afghanistan",2020-02-16,"Total Cases",0
"Afghanistan",2020-02-16,"Deaths",0
"Afghanistan",2020-02-16,"Recovered",0
"Afghanistan",2020-02-17,"Active Cases",0
"Afghanistan",2020-02-17,"Total Cases",0
"Afghanistan",2020-02-17,"Deaths",0
"Afghanistan",2020-02-17,"Recovered",0
"Afghanistan",2020-02-18,"Active Cases",0
"Afghanistan",2020-02-18,"Total Cases",0
"Afghanistan",2020-02-18,"Deaths",0
"Afghanistan",2020-02-18,"Recovered",0
"Afghanistan",2020-02-19,"Active Cases",0
"Afghanistan",2020-02-19,"Total Cases",0
"Afghanistan",2020-02-19,"Deaths",0
"Afghanistan",2020-02-19,"Recovered",0
"Afghanistan",2020-02-20,"Active Cases",0
"Afghanistan",2020-02-20,"Total Cases",0
"Afghanistan",2020-02-20,"Deaths",0
"Afghanistan",2020-02-20,"Recovered",0
"Afghanistan",2020-02-21,"Active Cases",0
"Afghanistan",2020-02-21,"Total Cases",0
"Afghanistan",2020-02-21,"Deaths",0
"Afghanistan",2020-02-21,"Recovered",0
"Afghanistan",2020-02-22,"Active Cases",0
"Afghanistan",2020-02-22,"Total Cases",0
"Afghanistan",2020-02-22,"Deaths",0
"Afghanistan",2020-02-22,"Recovered",0
"Afghanistan",2020-02-23,"Active Cases",0
"Afghanistan",2020-02-23,"Total Cases",0
"Afghanistan",2020-02-23,"Deaths",0
"Afghanistan",2020-02-23,"Recovered",0
"Afghanistan",2020-02-24,"Active Cases",1
"Afghanistan",2020-02-24,"Total Cases",1
